Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
Bird density,,,,,,,,,,,,,,
Spearman rank correlation,,,,,,,,,,,,,,
J. M. Jayakar,1993,"Feeding and breeding biology of the Openbill Stork, Anastomus oscitans in Andhra Pradesh",Department of Zoology,,"Osmania University, Hyderabad",,Ph.D.,,,TD-00209,Storks,,,
Ciconiidae,,,,,,,,,,,,,,
Anastomus oscitans,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat diversity,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Breeding habitat,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Reproductive success,,,,,,,,,,,,,,
R. Jayakumar,1999,Accumulation of heavy metals in select species of birds in Nilgiris district,PSG College of Arts and Science & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00136,Waterbirds,,,
Phalacrocorax carbo,,,,,,,,,,,,,,
Bubulcus ibis,,,,,,,,,,,,,,
Egretta garzetta,,,,,,,,,,,,,,
Ardeola grayii,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Heavy metal contamination,,,,,,,,,,,,,,
Bio-accumulation,,,,,,,,,,,,,,
Water pollution,,,,,,,,,,,,,,
S. Jayakumar,1987,Feeding ecology of wintering Brahminy Kite (Haliastur indus) near Point Calimere Wildlife Sanctuary,AVC College,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,,,TD-00250,Raptors,,,
Accipitridae,,,,,,,,,,,,,,
Haliastur indus,,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Lakes,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Winter ecology,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
S. Jayakumar,2013,"Organochlorine pesticides, population and reproductive success of fish-eating birds in select heronries in Tamilnadu",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00025,Waterbirds,,,
Coromandel Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Pesticide contamination,,,,,,,,,,,,,,
Colonial breeders,,,,,,,,,,,,,,
Heronry,,,,,,,,,,,,,,
Reproductive success,,,jayakumar.sacon@gmail.com,,,,,,,,,,,
R. Jayapal,1997,"A study on bird communities - habitat structure relationships in Pench National Park, M.P.",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,M.Sc.,,,TD-00123,Landbirds,,,
Central Indian Highlands,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Riverine forests,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Guild analysis,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Inter-specific interactions,,,,,,,,,,,,,,
Canopy utilization,,,,,,,,,,,,,,
Principal Components Analysis,,,,,,,,,,,,,,
Canonical Correspondence Analysis,,,rajah.jp@gmail.com,,,,,,,,,,,
R. Jayapal,2006,"Spatial patterns of species richness and distribution in breeding land birds of the Central Indian Highlands, India",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,,,TD-00124,Landbirds,,,
Central Indian Highlands,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Semi-evergreen forests,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Macroecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Macrohabitat characteristics,,,,,,,,,,,,,,
Guild structure,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Species-environment relationships,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Vegetation structure,,,rajah.jp@gmail.com,,,,,,,,,,,
S. Jayaraman,1985,"Wintering ecology of Coots Fulica atra atra (Linn.) from January to March 1985 in Keoladeo National Park, Bharatpur (Rajasthan)",AVC College,Mayiladuthurai,"Bharatidasan University, Tiruchirappalli",,M.Sc.,,,TD-00245,Coots,,,
Rallidae,,,,,,,,,,,,,,
Fulica atra,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
Winter migrant,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Seasonality,,,,,,,,,,,,,,
Seasonal movements,,,,,,,,,,,,,,
E. A. Jayson,1996,Synecological and behavioural studies on certain species of forest birds,Department o Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00195,landbirds,,,
Malabar Plains,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Semi-evergreen forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Behavioural context,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
A. K. Jena,1985,Status survey of aquatic birds of Nandankanan sanctuary,Wildlife Institute of India,Dehradun,"Wildlife Institute of India, Dehradun",48,Diploma dissertation,,,TD-00336,Habitat structure,,,
Vegetation composition,,,,,,,,,,,,,,
Aquatic ecosystem,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Aquatic birds,,,,,,,,,,,,,,
Bird composition,,,,,,,,,,,,,,
Bird diversity,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
B. S. Jerlin,2002,A study on the conservation of biodiversity of Koonthakulam bird sanctuary in Tirunelvelli district in Tamilnadu,Department of Botany,,,Manonmaniam Sundaranar University,251,Ph.D.,,,TD-00411,Bird survey,,
Foraging behaviour,,,,,,,,,,,,,,
Nesting behaviour,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
P. K. Jha,2018,"Study of avian diversity with reference to seasonal changes in Chitwan National Park, Nepal",Department of Zoology,Chittorgarh,Mewar University,292,Ph.D.,,,TD-00384,Species diversity,,,
Seasonality,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Population status,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
P. J. Joel,1992,"Breeding biology and feeding habits of Little Egret, Egretta garzetta at Nellore, Andhra Pradesh",Department of Zoology,,"Osmania University, Hyderabad",,Ph.D.,,,TD-00215,Egrets,,,
Egretta garzetta,,,,,,,,,,,,,,
Ardeidae,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Prey availability,,,,,,,,,,,,,,
Scavengers,,,,,,,,,,,,,,
B. Jose,2001,Ecological isolation of babblers ( Turdoides spp.),St. Berchman's College,Changanacherry,"Mahatma Gandhi University, Kottayam",,Ph.D.,,,TD-00162,Babblers,,,
Leiothrichidae,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
Sentinel behaviour,,,,,,,,,,,,,,
Vocalization,,,,,,,,,,,,,,
R. P. Joshi,2013,Ecology of family Ardeidae in semi urban and rural areas,Department of Zoology,,"Hemchandracharya North Gujarat University, Patan",,Ph.D.,,,TD-00095,Herons,,,
Egrets,,,,,,,,,,,,,,
Bitterns,,,,,,,,,,,,,,
Ardeidae,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Biological control,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
E. K. Joshua,1997,Thyroid function in quails,Department of Zoology,,"University of Kerala, Thiruvananthapuram",,Ph.D.,,,TD-00188,Quails,,,
Phasianidae,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Thyroid glands,,,,,,,,,,,,,,
Thyroxine,,,,,,,,,,,,,,
Thermoregulation,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Endocrinology,,,,,,,,,,,,,,
Jyoti,2017,A study on the avian diversity of Bhindawas and Khaparwas bird sanctuaries of district Jhajjar (Haryana),Department of Zoology,Kurukshetra,Kurukshetra University,152,Ph.D.,,,TD-00330,Species diversity,,,
Seasonality,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Conservation efforts,,,,,,,,,,,,,,
A. Kabui,1983,Status and distribution of Tragopan in Nagaland with special reference to Blythe's Tragopan,Wildlife Management,Dehradun,"Wildlife Institute of India, Dehradun",,Diploma course,,,TD-00344,Species ecology & life-history strategies,,,
Galliformes,,,,,,,,,,,,,,
Pheasant species,,,,,,,,,,,,,,
Nagaland,,,,,,,,,,,,,,
Landbirds,,,,,,,,,,,,,,
Phasiamidae,,,,,,,,,,,,,,
Tragopan blythi,,,,,,,,,,,,,,
S. S. Kale,1996,Biosysytematic study of cetsode parasites of birds and reptiles from Ausa region,Department of Zoology,,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",,Ph.D.,,,TD-00196,Landbirds,,,
Wetland birds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
Infections,,,,,,,,,,,,,,
A. Kalyani,2002,Effect of some hormones on haematology and immunity of malaria infected birds,Department of Zoology,,"Kakatiya University, Warangal",,Ph.D.,,,TD-00184,Landbirds,,,
Deccan Plateau,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Haematology,,,,,,,,,,,,,,
Infections,,,,,,,,,,,,,,
Malaria,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
G. Kamaraj,1992,Status and ecology of gulls wintering at Point Calimere Wildlife Sanctuary,AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli.",,M.Sc.,,,TD-00254,Gulls,,,
Laridae,,,,,,,,,,,,,,
Coromandel Coast,,,,,,,,,,,,,,
Coasts,,,,,,,,,,,,,,
Mudflats,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
A. A. Kambale,2011,"A study on breeding behaviour of Oriental White-backed Vulture (Gyps bengalensis) in Anjarle & Deobag, Maharashtra",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",53+fig,M.Sc.,,,TD-00353,Breeding biology,,,
Species biology,,,,,,,,,,,,,,
Habitat characteristics,,,,,,,,,,,,,,
Nesting success,,,,,,,,,,,,,,
Nesting behaviour,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Oriental White-backed Vulture,,,,,,,,,,,,,,
Konkan coast,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species conservation,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Nest-site selection,,,,,,,,,,,,,,
Colonial nesting,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Vulture conservation,,,,,,,,,,,,,,
R. Kannan,1994,Ecology and conservation of the Great Pied Hornbill (Buceros bicornis) in the Western Ghats of southern India,,,"Arkansas State University, Arkansas, USA",,Ph.D.,,,TD-00072,Hornbills,,,
Buceros bicornis,,,,,,,,,,,,,,
Bucerotidae,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Fruiting phenology,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Frugivory,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Courtship behaviour,,,,,,,,,,,,,,
Grappling,,,,,,,,,,,,,,
Monogamous species,,,,,,,,,,,,,,
M. Karthikeyan,2007,Avifauna and their habitat utilisation in three different habitats of Parambikulam Wildlife Sanctuary,Department of Zoology,,"Mahatma Gandhi University, Kottayam",,Ph.D.,,,TD-00176,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Western Ghats (South),,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Evergreen forest,,,,,,,,,,,,,,
Teak plantation,,,,,,,,,,,,,,
Floristics,,,,,,,,,,,,,,
Foraging pattern,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
R. Karuppuswamy,2005,"Pesticide residues in the tissues of three species of birds in Coimbatore, Tamil Nadu",Department of Environmental Sciences (BU) & Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00128,Acridotheres tristis,,,
Sturnidae,,,,,,,,,,,,,,
Starlings,,,,,,,,,,,,,,
Coturnix coturnix,,,,,,,,,,,,,,
Phasianidae,,,,,,,,,,,,,,
Galliformes,,,,,,,,,,,,,,
Eudynamys scolopaceus,,,,,,,,,,,,,,
Cuculidae,,,,,,,,,,,,,,
Cuckoos,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Rural ecosystem,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Pesticide contamination,,,,,,,,,,,,,,
Bio-accumulation,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Chemical pollutants,,,,,,,,,,,,,,
M. Katti,1989,Bird communities of lower pine forests of Dachigam National Park,Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,M.Sc.,,,TD-00264,Landbirds,,,
Kashmir Valley,,,,,,,,,,,,,,
Conifer forests,,,,,,,,,,,,,,
Pine forests,,,,,,,,,,,,,,
Meadows,,,,,,,,,,,,,,
Marshes,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Montane forests,,,,,,,,,,,,,,
M. Katti,1997,Ecology and evolution of non-breeding distributions in the old world leaf warblers,,,"California State University, Los Angeles",,Ph.D.,,,TD-00080,Leaf warblers,,,
Phylloscopus trochiloides,,,,,,,,,,,,,,
Phylloscopidae,,,,,,,,,,,,,,
Western Ghats (South),,,,,,,,,,,,,,
Semi-evergreen forests,,,,,,,,,,,,,,
Montane forests,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Avian evolution,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Life-history parameters,,,,,,,,,,,,,,
Bird call,,,,,,,,,,,,,,
Bergmann's rule,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
R. Kaul,1989,Ecology of Cheer Pheasant Catreus wallichii in Kumaun Himalaya,Department of Botany,Srinagar,"University of Kashmir, Srinagar",216,Ph.D.,,,TD-00265,Galliformes,,,
Phasianidae,,,,,,,,,,,,,,
Catreus wallichii,,,,,,,,,,,,,,
Kashmir Valley,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Meadows,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat management,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
Grazing,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Breeding habitat,,,,,,,,,,,,,,
J. Kaur,2009,"Impact of land use changes on the habitat, behaviour and breeding biology of the Indian Sarus Crane (Grus antigone antigone)  in the semi arid tract of Rajasthan, India",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,,,TD-00147,Antigone antigone,,,
Gruidae,,,,,,,,,,,,,,
Cranes,,,,,,,,,,,,,,
Semi-Arid,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Landuse & landcover change,,,,,,,,,,,,,,
Habitat disturbance,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Courtship behaviour,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
S. Kaur,1992,"Systematics and distribution of the cestodes of an avian order Columbiformes from Punjab, India",Department of Zoology,,"Punjabi University, Patiala",,Ph.D.,,,TD-00214,Pigeons ,,,
Columbidae,,,,,,,,,,,,,,
Punjab Plains,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
Bird parasites,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
T. Kaur,2011,Studies on the avian community organization and foraging ecology in relation to phenological changes in important Rabi and Kharif crops of Punjab,Department of Zoology,,"Punjab Agricultural University, Ludhiana",,Ph.D.,,,TD-00111,Landbirds,,,
Punjab Plains,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Rural ecosystem,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Granivores,,,,,,,,,,,,,,
Cropping seasonality,,,,,,,,,,,,,,
Community organization,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
M. Kaushik,2015,"Influence of extractive disturbances on forest bird communities in Siwalik landscape, India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,Ph.D.,,,TD-00004,Landbirds,,,
Siwalik Hills,,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Bird communities,,,,,,,,,,,,,,
Habitat disturbance,,,,,,,,,,,,,,
NTFP extraction,,,,,,,,,,,,,,
Foraging guilds,,,monikakaushik05@gmail.com,,,,,,,,,,,
K. Kesiezie,2009,"Status, distribution and relative abundance of Galliformes in Khonoma nature conservation and Tragopan sanctuary, Nagaland",Wildlife Institute of India,Dehradun,"Forest Research Institute University, Dehradun",45,M.Sc.,,,TD-00348,Landbirds,,,
Galliformes,,,,,,,,,,,,,,
Arborophila torqueola,,,,,,,,,,,,,,
Arborophila rufogularis,,,,,,,,,,,,,,
Bambusicola fytchii,,,,,,,,,,,,,,
Tragopan blythi,,,,,,,,,,,,,,
Gallus gallus,,,,,,,,,,,,,,
Lophura leucomelanos,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
S. Khaling,1999,"Certain aspects of the ecology and behaviour of Satyr Tragopan, (Tragopan satyra) in Singhalila National Park, Darjeeling, Indi",Department of Zoology,Darjeeling,"University of North Bengal, Darjeeling",210,Ph.D.,,,TD-00296,Galliformes,,,
Phasianidae,,,,,,,,,,,,,,
Tragopan satyra,,,,,,,,,,,,,,
Lower Gangetic Plains,,,,,,,,,,,,,,
Bamboo forests,,,,,,,,,,,,,,
Rhododendron forest,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Courtship behaviour,,,,,,,,,,,,,,
Courtship display ,,,,,,,,,,,,,,
Plumage characteristics,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
A. M. Khan,2016,"Ecology of Red Junglefowl Gallus gallus (Linnaeus, 1758) in Katerniaghat Wildlife Sanctuary, Bahraich, Uttar Pradesh, India",Department of Wildlife Science,Aligarh,Aligarh Muslim University,148,Ph.D.,,,TD-00399,Gallus gallus,,,
Population density,,,,,,,,,,,,,,
Encounter rate,,,,,,,,,,,,,,
Sex ratio,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Nest site selection,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
NTFP extraction,,,,,,,,,,,,,,
Human impacts,,,,,,,,,,,,,,
Human-wildlife conflicts,,,,,,,,,,,,,,
Hunting & poaching,,,,,,,,,,,,,,
Fuelwood extraction,,,,,,,,,,,,,,
Livestock grazing,,,,,,,,,,,,,,
Habitat degradation,,,,,,,,,,,,,,
Agricultural expansion,,,,,,,,,,,,,,
Conservation efforts,,,,,,,,,,,,,,
M. A. R. Khan,1977,Ecological problems relating to birds: Ecology and behaviour of the Black-and-orange Flycatcher Muscicapa nigrorufa (Jerdon),,,"University of Bombay, Bombay",,Ph.D.,,,TD-00055,Flycatchers,,,
Muscicapidae,,,,,,,,,,,,,,
Muscicapa nigrorufa,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Shola forests,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Territorial behaviour,,,,,,,,,,,,,,
Bird call,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Plumage characteristics,,,,,,,,,,,,,,
Z. Kidwai,2009,"Population and habitat use of Galliformes in Sariska Tiger Reserve, Rajasthan",Wildlife Institute of India,Dehradun,"Aligarh Muslim University, Aligarh",51,M.Sc.,,,TD-00350,Galliformes,,,
Population studies,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Galliformes conservation,,,,,,,,,,,,,,
Species conservation,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Macroecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Bird composition,,,,,,,,,,,,,,
Vegetation density,,,,,,,,,,,,,,
Bird abundance,,,,,,,,,,,,,,
Landbirds,,,,,,,,,,,,,,
Bird density,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
M. B. Krishna,1992,Some studies on the avian communities of selected habitats in Karnataka,Department of Zoology,Bangalore,Bangalore University,128,Ph.D.,,,TD-00205,Landbirds,,,
Deccan Plateau,,,,,,,,,,,,,,
Evergreen forest,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Species co-existence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
